 param_v,     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n
     516,     236,0.39062500,    1.6811,   0.26300,   0.19600,   0.17200,   0.00500,   10.1247
     516,     237,0.35937500,    1.6733,   0.33500,   0.00000,   0.24500,   0.01000,    9.4014
     516,     238,0.42187500,    1.5485,   0.20712,   0.00000,   0.10941,   0.00400,    9.7992
     516,     239,0.37500000,    1.8003,   0.18259,   0.00000,   0.12800,   0.00500,    9.4770
     516,     240,0.34375000,    1.6071,   0.30200,   0.00000,   0.15408,   0.00500,    9.8464
     527,     241,0.40625000,    1.5081,   0.24358,   0.18900,   0.18701,   0.00800,    9.5403
     527,     242,0.31250000,    1.9541,   0.25607,   0.00000,   0.24600,   0.01100,   10.0477
     527,     243,0.37500000,    1.9874,   0.23080,   0.00000,   0.19700,   0.01200,    9.4061
     527,     244,0.43750000,    1.6372,   0.25034,   0.00000,   0.12620,   0.00503,   10.2911
     527,     245,0.39062500,    1.4739,   0.31981,   0.00000,   0.14171,   0.01300,   11.7443
     538,     246,0.40625000,    1.7509,   0.22551,   0.16900,   0.16978,   0.00552,    9.0223
     538,     247,0.37500000,    1.6629,   0.28665,   0.00000,   0.12952,   0.00700,    9.6420
     538,     248,0.29687500,    1.7571,   0.26427,   0.00000,   0.20402,   0.01000,    9.8783
     538,     249,0.37500000,    1.9279,   0.22900,   0.00000,   0.24938,   0.01200,    9.4131
     538,     250,0.45312500,    1.6822,   0.21804,   0.00000,   0.13100,   0.00500,   10.4006
     549,     251,0.50000000,    1.5182,   0.25400,   0.17200,   0.25440,   0.01000,    9.0452
     549,     252,0.34375000,    1.7751,   0.29200,   0.00000,   0.14630,   0.00600,   10.0252
     549,     253,0.29687500,    1.7578,   0.28911,   0.00000,   0.15800,   0.00600,   10.4236
     549,     254,0.35937500,    1.6819,   0.31397,   0.00000,   0.19855,   0.00669,   10.0826
     549,     255,0.31250000,    1.6602,   0.32200,   0.00000,   0.21400,   0.01000,    9.5329
     559,     256,0.28125000,    1.8078,   0.25508,   0.12515,   0.23468,   0.01201,    9.6646
     559,     257,0.42187500,    1.6881,   0.19589,   0.00000,   0.20343,   0.01200,    9.4761
     559,     258,0.40625000,    1.6349,   0.31720,   0.00000,   0.15429,   0.01096,    9.7270
     559,     259,0.37500000,    1.6537,   0.31408,   0.00000,   0.10809,   0.00399,    9.8723
     559,     260,0.29687500,    1.9168,   0.24100,   0.00000,   0.19255,   0.00452,    9.4126
     570,     261,0.31250000,    1.8565,   0.33206,   0.18400,   0.19100,   0.00600,    9.7529
     570,     262,0.43750000,    1.6122,   0.20700,   0.00000,   0.21592,   0.01400,    9.5383
     570,     263,0.42187500,    1.7330,   0.28000,   0.00000,   0.14332,   0.01198,   10.1010
     570,     264,0.34375000,    1.9718,   0.23604,   0.00000,   0.14716,   0.00700,   10.4855
     570,     265,0.40625000,    1.6094,   0.32500,   0.00000,   0.15900,   0.00500,    9.7629
     580,     266,0.43750000,    1.8239,   0.23200,   0.15800,   0.18557,   0.00500,    8.9594
     580,     267,0.43750000,    1.5989,   0.24700,   0.00000,   0.23900,   0.01200,    9.4062
     580,     268,0.35937500,    1.8721,   0.28755,   0.00000,   0.16654,   0.01500,    9.9841
     580,     269,0.35937500,    1.6408,   0.26911,   0.00000,   0.20508,   0.01278,    9.6306
     580,     270,0.39062500,    1.7852,   0.24913,   0.00000,   0.15400,   0.00500,    9.2721
     592,     271,0.43750000,    1.6047,   0.26000,   0.15294,   0.10900,   0.00600,    9.5738
     592,     272,0.43750000,    1.5488,   0.23489,   0.00000,   0.20400,   0.00600,   10.1039
     592,     273,0.32812500,    1.8393,   0.26177,   0.00000,   0.24999,   0.01100,   10.6729
