     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n,        cr
     186,0.35937500,    1.8272,   0.06100,   0.07600,   0.10500,   0.00400,    4.6308,0.50000000
     187,0.34375000,    1.8049,   0.08100,   0.09500,   0.11100,   0.00600,    4.5388,0.50000000
     188,0.31250000,    1.8379,   0.06957,   0.13100,   0.10800,   0.01100,    4.4952,0.50000000
     189,0.32812500,    1.5698,   0.09768,   0.09955,   0.11169,   0.00501,    4.2050,0.50000000
     190,0.39062500,    1.6281,   0.05972,   0.13559,   0.10894,   0.00451,    4.4404,0.50000000
     191,0.39062500,    1.7339,   0.07744,   0.09682,   0.13018,   0.00751,    4.5555,0.50000000
     192,0.40625000,    1.5626,   0.11611,   0.13489,   0.11854,   0.01100,    4.4634,0.50000000
     193,0.28125000,    2.1141,   0.10617,   0.08570,   0.17008,   0.02300,    5.2812,0.50000000
     194,0.39062500,    1.7657,   0.10400,   0.07682,   0.16053,   0.02201,    4.5335,0.50000000
     195,0.40625000,    1.7743,   0.05836,   0.07394,   0.11163,   0.00600,    4.7767,0.50000000
     196,0.31250000,    1.7870,   0.08722,   0.08951,   0.10456,   0.00400,    4.7505,0.50000000
     197,0.39062500,    1.6696,   0.10476,   0.13372,   0.11777,   0.00399,    4.5313,0.50000000
     198,0.32812500,    1.8667,   0.09970,   0.12754,   0.12402,   0.00452,    4.5472,0.50000000
     199,0.35937500,    1.6579,   0.10766,   0.12259,   0.12142,   0.00400,    4.3304,0.50000000
     200,0.32812500,    1.7274,   0.09362,   0.12819,   0.10810,   0.00400,    4.3149,0.50000000
     201,0.35937500,    1.6911,   0.12318,   0.13581,   0.13364,   0.00905,    4.6159,0.50000000
     202,0.35937500,    1.6605,   0.13377,   0.07853,   0.13283,   0.02500,    4.1891,0.50000000
     203,0.37500000,    1.6688,   0.05860,   0.07508,   0.10393,   0.00452,    4.1461,0.50000000
     204,0.42187500,    1.6389,   0.07602,   0.09265,   0.12177,   0.00600,    4.2206,0.50000000
     205,0.40625000,    1.5945,   0.09906,   0.12905,   0.11955,   0.00401,    4.1288,0.50000000
     206,0.29687500,    1.8550,   0.08323,   0.13655,   0.13054,   0.00652,    4.3816,0.50000000
